diagnostic_center_id,title,phone,address,city,pincode,mfine_link
766-modern-pathology-centre,Modern Pathology Centre,"0562 653 1287, 0562 288 2530, 0562 254 2550 ","V-2/17, Bye Pass Road, Near Shri Ram Cinema, Kamla Nagar,  Agra, Uttar Pradesh - 282004",Agra,282004,https://www.medifee.com/dc/766-modern-pathology-centre/
767-agra-x-ray-pathology-centre,Agra X Ray & Pathology Centre,"0562 226 1616, 0562 654 2234, 9412265339 "," 9, M G Road, Opposite Dish Hospital, Chhipitola,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/767-agra-x-ray-pathology-centre/
768-gupta-pathology-centre,Gupta Pathology Centre,"0562 325 0218, 0562 325 0180, 0562 365 0180, 0562 221 3667, 9412264524 ","3-4, Rohit Complex, Agra Ho, Kheria MOD, Arjun Nagar,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/768-gupta-pathology-centre/
769-metro-pathology-x-ray-center,Metro Pathology & X-Ray Center,"9368064615 ","Etmaddola Road, Agra Ho,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/769-metro-pathology-x-ray-center/
770-life-care-pathology-center,Life Care Pathology Center,"8954380516 ","Trans Yamuna Colony, Agra Ho, Saiyad Chauraha,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/770-life-care-pathology-center/
771-ajay-diagnostic-centre,Ajay Diagnostic Centre,"9927403057, 9389403057 ","Near Shree Talkies, Bye Pass Road, Agra Ho,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/771-ajay-diagnostic-centre/
772-anjali-pathology,Anjali Pathology,"9219727239 ","Akash Complex Market, Agra Ho,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/772-anjali-pathology/
773-charak-pathology-center,Charak Pathology Center,"9411411845 ","58/300/1bh, Arjun Nagar Road, Agra Ho, Arjun Nagar,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/773-charak-pathology-center/
774-s-p-g-medicare-diagnostics,S P G Medicare & Diagnostics,"0562 400 0384, 0562 654 4073, 9319204073, 9411991632 ","B- 2/22, Behind Shree Ram Cinema Hall, Kamla Nagar,  Agra, Uttar Pradesh - 282004",Agra,282004,https://www.medifee.com/dc/774-s-p-g-medicare-diagnostics/
775-scientific-pathology-scientific-learning-institute,Scientific Pathology & Scientific Learning Institute,"0562 425 5555, 0562 400 7057, 0562 400 6565, 9927082377 ","I 12, Lawyers Colony, Near Pani ki tanki, Agra HO,  Agra, Uttar Pradesh - 282001",Agra,282001,https://www.medifee.com/dc/775-scientific-pathology-scientific-learning-institute/
